sample_id,image_identity,source_root_id,image_relative_path,source_sha256,annotation_root_id,annotation_image_relative_path,annotation_image_sha256,labels_relative_path,labels_sha256,snakes_relative_path,snakes_sha256,skeleton_annotation_available,shape_y,shape_x,culture_id,disease,tau_isoform,experimental_condition,div,div_token,series_index,acquisition_group,experimental_group_id,split_group_id,split,biological_grouping_status,background_pixels,fibrous_tau_pixels,clump_pixels,uncertain_ignore_pixels,background_components,fibrous_tau_components,clump_components,uncertain_ignore_components,snake_count,usable_snake_count,flagged_snake_count,skeleton_pixels,clipped_nonfibrous_snake_pixels,validation_status,problems
img_9be7971faaa17ec1d33d,PN148_4R_AD_DIV05 (Series 12) [1],sted_fiber_data,PN148_4R_AD_DIV05 (Series 12) [1].tif,aaba7777e11cc90a3bf01df811f99c3b5b9054103ab9402f2dc85826f99da0ce,real_annotations,PN148_4R_AD_DIV05 (Series 12) [1].tif,aaba7777e11cc90a3bf01df811f99c3b5b9054103ab9402f2dc85826f99da0ce,PN148_4R_AD_DIV05 (Series 12) [1].labeling,7c0d26af7ff5e832e0f21d7ff6088bb46630d750441c43634249f3d1e8aa6efd,PN148_4R_AD_DIV05 (Series 12) [1].txt,76ef1654ab39898a4eaf66fc478f7b0601ab423dc35e3e24cdd89739f32c7a89,true,1024,1024,PN148,AD,4R,AD_4R,5,DIV05,12,PN148_4R_AD_DIV05,PN148_AD_4R_DIV05,PN148_AD_4R_DIV05,validation,provisional_experimental_group_from_existing_manifest,982583,19268,6110,40615,42,76,1,123,88,88,0,5262,58,valid,none
img_cc031204543516db8eae,PN148_4R_AD_DIV07 (Series 1) [1],sted_fiber_data,PN148_4R_AD_DIV07 (Series 1) [1].tif,b68e9e6e73921cc4b996951773cd49262a1b3da04a87e8e11548017d66df5c0a,real_annotations,PN148_4R_AD_DIV07 (Series 1) [1].tif,b68e9e6e73921cc4b996951773cd49262a1b3da04a87e8e11548017d66df5c0a,PN148_4R_AD_DIV07 (Series 1) [1].labeling,1afdc8403ecc4c4c87eb3e50857c09bf2e83868d3daf7a545a0bdece1e19ee5e,PN148_4R_AD_DIV07 (Series 1) [1].txt,22487c62d69c980b43855dfc39be04ee6488af2d697fea3a43aa108cc1a7d50d,true,1024,1024,PN148,AD,4R,AD_4R,7,DIV07,1,PN148_4R_AD_DIV07,PN148_AD_4R_DIV07,PN148_AD_4R_DIV07,test,provisional_experimental_group_from_existing_manifest,1004834,13159,0,30583,9,40,0,22,44,44,0,3744,25,valid,none
img_fc64d68cbb5e925a9520,PN148_4R_PSP_DIV10 (Series 6) [1],sted_fiber_data,PN148_4R_PSP_DIV10 (Series 6) [1].tif,cd3bbd9133dd05d80c4bb35c61d99853bb3d23049ba3df55c9b79442ae4a393c,real_annotations,PN148_4R_PSP_DIV10 (Series 6) [1].tif,cd3bbd9133dd05d80c4bb35c61d99853bb3d23049ba3df55c9b79442ae4a393c,PN148_4R_PSP_DIV10 (Series 6) [1].labeling,c75a736da471cfe45b869ae94ee6c1d5f889b07596077004614a300795d683c5,PN148_4R_PSP_DIV10 (Series 6) [1].txt,8d19b7ecfb00b12159373c1226b69519b98d9a0115e9b38b25d7b06db6e3c910,true,1024,1024,PN148,PSP,4R,PSP_4R,10,DIV10,6,PN148_4R_PSP_DIV10,PN148_PSP_4R_DIV10,PN148_PSP_4R_DIV10,calibration,provisional_experimental_group_from_existing_manifest,939930,28291,0,80355,49,58,0,92,77,77,0,7953,163,valid,none
img_e650e1515047a1f7fba6,PN148_4R_PSP_DIV10 (Series 8) [1],sted_fiber_data,PN148_4R_PSP_DIV10 (Series 8) [1].tif,71522a86ea0cb2a8178134ac91c75a409a8c9af3e20a41f5f21334b678ec0330,real_annotations,PN148_4R_PSP_DIV10 (Series 8) [1].tif,71522a86ea0cb2a8178134ac91c75a409a8c9af3e20a41f5f21334b678ec0330,PN148_4R_PSP_DIV10 (Series 8) [1].labeling,6a9302f92d6f29af5a96fa1b5e4d54f9c006caa5df43e541160b687c04c43e08,PN148_4R_PSP_DIV10 (Series 8) [1].txt,03fe7b28c6c8deaa9bc3c24f2e645919075d9eeeb95521746887631fc1be9a00,true,1024,1024,PN148,PSP,4R,PSP_4R,10,DIV10,8,PN148_4R_PSP_DIV10,PN148_PSP_4R_DIV10,PN148_PSP_4R_DIV10,calibration,provisional_experimental_group_from_existing_manifest,940313,52786,0,55477,121,58,0,95,97,97,0,14398,83,valid,none
img_0ff9ff110badf4e96c42,PN148_4R_PSP_DIV5 (Series 5) [1],sted_fiber_data,PN148_4R_PSP_DIV5 (Series 5) [1].tif,84681186433a471c6b1618810d2972947acec380d5b0a9166d1d4a166c6fad28,real_annotations,PN148_4R_PSP_DIV5 (Series 5) [1].tif,84681186433a471c6b1618810d2972947acec380d5b0a9166d1d4a166c6fad28,PN148_4R_PSP_DIV5 (Series 5) [1].labeling,e9d995dd1c722234a51f10d2ea65495e3ea2d8e41ae338214728ed3a654a8c98,PN148_4R_PSP_DIV5 (Series 5) [1].txt,becaf03976907bb018bcab98a984d221994ffde18176deff6a47c3aa21990f32,true,1024,1024,PN148,PSP,4R,PSP_4R,5,DIV5,5,PN148_4R_PSP_DIV5,PN148_PSP_4R_DIV05,PN148_PSP_4R_DIV05,validation,provisional_experimental_group_from_existing_manifest,872835,119008,0,56733,446,50,0,84,151,140,11,21896,2533,valid,none
img_5944729f82099124c02e,PN148_4R_PSP_DIV7 (Series 12) [1],sted_fiber_data,PN148_4R_PSP_DIV7 (Series 12) [1].tif,f8a2e62dc5378b1ef9f4bdb957613b09f590ccd06fcf81b7f44195f7c54bd488,real_annotations,PN148_4R_PSP_DIV7 (Series 12) [1].tif,f8a2e62dc5378b1ef9f4bdb957613b09f590ccd06fcf81b7f44195f7c54bd488,PN148_4R_PSP_DIV7 (Series 12) [1].labeling,53f44f383d302cd99e602fa02c2d17a32d62a727dca225f65ca663f332d80136,PN148_4R_PSP_DIV7 (Series 12) [1].txt,59ec34e4e4a39b0c7071275212adebc8c6509c78be1875b72cff0470706a5168,true,1024,1024,PN148,PSP,4R,PSP_4R,7,DIV7,12,PN148_4R_PSP_DIV7,PN148_PSP_4R_DIV07,PN148_PSP_4R_DIV07,test,provisional_experimental_group_from_existing_manifest,989327,31575,0,27674,31,39,0,64,68,68,0,8841,139,valid,none
img_dbc03c8686e895b07076,PN151_4R_CBD_DIV05 (Series 12) [1],sted_fiber_data,PN151_4R_CBD_DIV05 (Series 12) [1].tif,275a3c6ecd6d0e23b2689dff0cd5d74af46b2b26ac259f23eb50c7b0e3596e08,real_annotations,PN151_4R_CBD_DIV05 (Series 12) [1].tif,275a3c6ecd6d0e23b2689dff0cd5d74af46b2b26ac259f23eb50c7b0e3596e08,PN151_4R_CBD_DIV05 (Series 12) [1].labeling,798fe57fff9325abbcb3e39e9a2f65fb5ada4c56ff947e8599c4ac7c8e2cf5b3,PN151_4R_CBD_DIV05 (Series 12) [1].txt,f6cacc98885806c69477ab51e8f9db6ba46d5de5b3861f50edee2ec4cf24c5a5,true,1024,1024,PN151,CBD,4R,CBD_4R,5,DIV05,12,PN151_4R_CBD_DIV05,PN151_CBD_4R_DIV05,PN151_CBD_4R_DIV05,validation,provisional_experimental_group_from_existing_manifest,1013150,25243,0,10183,28,38,0,45,57,57,0,6972,167,valid,none
img_6f74505ed1336fe0eb30,PN151_4R_CBD_DIV05 (Series 15) [1],sted_fiber_data,PN151_4R_CBD_DIV05 (Series 15) [1].tif,9facffee85a211f704fb11b91b509d236fd87e4918b53733df4cd69fd8a17e44,real_annotations,PN151_4R_CBD_DIV05 (Series 15) [1].tif,9facffee85a211f704fb11b91b509d236fd87e4918b53733df4cd69fd8a17e44,PN151_4R_CBD_DIV05 (Series 15) [1].labeling,1db2f96043cc5e02882a9a620cd52939bb08b2c4e4672489067a9119ead814ea,PN151_4R_CBD_DIV05 (Series 15) [1].txt,1bf83cb4b28d51a9c4353fbed1df829d7eba3af5de18730122286a7d764b5021,true,1024,1024,PN151,CBD,4R,CBD_4R,5,DIV05,15,PN151_4R_CBD_DIV05,PN151_CBD_4R_DIV05,PN151_CBD_4R_DIV05,validation,provisional_experimental_group_from_existing_manifest,989534,37334,0,21708,22,37,0,48,64,64,0,10395,834,valid,none
img_72c8707007fc26224839,PN151_4R_CBD_DIV05 (Series 3) [1],sted_fiber_data,PN151_4R_CBD_DIV05 (Series 3) [1].tif,a8369fc854608c8b5e050e014cd87941cddd7ab8fad7383529b2efbae3464bc8,real_annotations,PN151_4R_CBD_DIV05 (Series 3) [1].tif,a8369fc854608c8b5e050e014cd87941cddd7ab8fad7383529b2efbae3464bc8,PN151_4R_CBD_DIV05 (Series 3) [1].labeling,495038a8025999bfcba7fdd757f851b223d35acd27ded75a4ea8e65abfbd6084,PN151_4R_CBD_DIV05 (Series 3) [1].txt,fc4ecbe34c30ae7b45e696ace3981e465892d2ef71a4751df029d30a40b6411b,true,1024,1024,PN151,CBD,4R,CBD_4R,5,DIV05,3,PN151_4R_CBD_DIV05,PN151_CBD_4R_DIV05,PN151_CBD_4R_DIV05,validation,provisional_experimental_group_from_existing_manifest,992771,52663,0,3142,14,60,0,11,110,102,8,16718,2898,valid,none
img_bf01e1f9f39919cbea69,PN151_4R_CBD_DIV05 (Series 8) [1],sted_fiber_data,PN151_4R_CBD_DIV05 (Series 8) [1].tif,2cda95f1922222fd7d780c02907574125afd7365e97d60823c452210b342807e,real_annotations,PN151_4R_CBD_DIV05 (Series 8) [1].tif,2cda95f1922222fd7d780c02907574125afd7365e97d60823c452210b342807e,PN151_4R_CBD_DIV05 (Series 8) [1].labeling,2a5e5be2a84bc164982cc83a65fcc1fc4d47aa38957f4d48b52e29712c325d8d,PN151_4R_CBD_DIV05 (Series 8) [1].txt,c4ca1600e8c4d240b784842a06dfabcd3be9505c1567ed894813344f44f8421c,true,1024,1024,PN151,CBD,4R,CBD_4R,5,DIV05,8,PN151_4R_CBD_DIV05,PN151_CBD_4R_DIV05,PN151_CBD_4R_DIV05,validation,provisional_experimental_group_from_existing_manifest,941669,40478,21076,45353,153,62,1,75,107,107,0,11109,163,valid,none
