fold_schema_version,outer_fold,sample_id,image_identity,split_group_id,partition,validation_status,disease,tau_isoform,div,fibrous_fraction,clump_fraction,uncertain_fraction,morphology_density
real_annotation_grouped_cv_1.0.0,0,img_0ff9ff110badf4e96c42,PN148_4R_PSP_DIV5 (Series 5) [1],PN148_PSP_4R_DIV05,validation,valid,PSP,4R,5,0.11349487,0.00000000,0.05410480,dense
real_annotation_grouped_cv_1.0.0,0,img_5944729f82099124c02e,PN148_4R_PSP_DIV7 (Series 12) [1],PN148_PSP_4R_DIV07,train,valid,PSP,4R,7,0.03011227,0.00000000,0.02639198,sparse
real_annotation_grouped_cv_1.0.0,0,img_dbc03c8686e895b07076,PN151_4R_CBD_DIV05 (Series 12) [1],PN151_CBD_4R_DIV05,test,valid,CBD,4R,5,0.02407360,0.00000000,0.00971127,sparse
real_annotation_grouped_cv_1.0.0,0,img_6f74505ed1336fe0eb30,PN151_4R_CBD_DIV05 (Series 15) [1],PN151_CBD_4R_DIV05,test,valid,CBD,4R,5,0.03560448,0.00000000,0.02070236,sparse
real_annotation_grouped_cv_1.0.0,0,img_72c8707007fc26224839,PN151_4R_CBD_DIV05 (Series 3) [1],PN151_CBD_4R_DIV05,test,valid,CBD,4R,5,0.05022335,0.00000000,0.00299644,sparse
real_annotation_grouped_cv_1.0.0,0,img_bf01e1f9f39919cbea69,PN151_4R_CBD_DIV05 (Series 8) [1],PN151_CBD_4R_DIV05,test,valid,CBD,4R,5,0.03860283,0.02009964,0.04325199,dense
real_annotation_grouped_cv_1.0.0,1,img_05ef13116918fe81f04f,PN148_3R_AD_DIV05 (Series 14) [1],PN148_AD_3R_DIV05,test,valid,AD,3R,5,0.03052521,0.02580166,0.05558681,dense
real_annotation_grouped_cv_1.0.0,1,img_6c2ecbaaa6ef986d7a8a,PN148_3R_AD_DIV05 (Series 3) [1],PN148_AD_3R_DIV05,test,valid,AD,3R,5,0.02343464,0.01725674,0.07192802,sparse
real_annotation_grouped_cv_1.0.0,1,img_af6313c152e9bc38a66c,PN148_3R_AD_DIV07 (Series 0) [1],PN148_AD_3R_DIV07,train,valid,AD,3R,7,0.00658798,0.01379871,0.04364967,sparse
real_annotation_grouped_cv_1.0.0,1,img_2a83cf27e86fd0275008,PN148_3R_AD_DIV10 (Series 3) [1],PN148_AD_3R_DIV10,train,valid,AD,3R,10,0.02068615,0.04504681,0.10381126,dense
real_annotation_grouped_cv_1.0.0,1,img_0040227f2d45f5a55970,PN148_3R_PID_DIV05 (Series 0) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.05887699,0.00394344,0.02611923,dense
real_annotation_grouped_cv_1.0.0,1,img_467a144c1914e7179f96,PN148_3R_PID_DIV05 (Series 10) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.06363773,0.00000000,0.02427769,dense
real_annotation_grouped_cv_1.0.0,1,img_2682051c7397e1b12852,PN148_3R_PID_DIV05 (Series 2) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.03313446,0.00000000,0.00052834,sparse
real_annotation_grouped_cv_1.0.0,1,img_dca55343b014ab0419c4,PN148_3R_PID_DIV7 (Series 14) [1],PN148_PID_3R_DIV07,validation,valid,PID,3R,7,0.13618565,0.00000000,0.02234936,dense
real_annotation_grouped_cv_1.0.0,1,img_839563e0a840ae895b70,PN148_4R_AD_DIV03 (Series 10) [1],PN148_AD_4R_DIV03,train,valid,AD,4R,3,0.01185131,0.10886002,0.15437603,dense
real_annotation_grouped_cv_1.0.0,1,img_6cca2db2f0fbf1c19322,PN148_4R_AD_DIV03 (Series 11) [1],PN148_AD_4R_DIV03,train,valid,AD,4R,3,0.01388264,0.10321236,0.12518311,dense
real_annotation_grouped_cv_1.0.0,1,img_9be7971faaa17ec1d33d,PN148_4R_AD_DIV05 (Series 12) [1],PN148_AD_4R_DIV05,validation,valid,AD,4R,5,0.01837540,0.00582695,0.03873348,sparse
real_annotation_grouped_cv_1.0.0,1,img_cc031204543516db8eae,PN148_4R_AD_DIV07 (Series 1) [1],PN148_AD_4R_DIV07,test,valid,AD,4R,7,0.01254940,0.00000000,0.02916622,sparse
real_annotation_grouped_cv_1.0.0,1,img_fc64d68cbb5e925a9520,PN148_4R_PSP_DIV10 (Series 6) [1],PN148_PSP_4R_DIV10,test,valid,PSP,4R,10,0.02698040,0.00000000,0.07663250,sparse
real_annotation_grouped_cv_1.0.0,1,img_e650e1515047a1f7fba6,PN148_4R_PSP_DIV10 (Series 8) [1],PN148_PSP_4R_DIV10,test,valid,PSP,4R,10,0.05034065,0.00000000,0.05290699,dense
real_annotation_grouped_cv_1.0.0,1,img_0ff9ff110badf4e96c42,PN148_4R_PSP_DIV5 (Series 5) [1],PN148_PSP_4R_DIV05,validation,valid,PSP,4R,5,0.11349487,0.00000000,0.05410480,dense
real_annotation_grouped_cv_1.0.0,1,img_5944729f82099124c02e,PN148_4R_PSP_DIV7 (Series 12) [1],PN148_PSP_4R_DIV07,train,valid,PSP,4R,7,0.03011227,0.00000000,0.02639198,sparse
real_annotation_grouped_cv_1.0.0,1,img_dbc03c8686e895b07076,PN151_4R_CBD_DIV05 (Series 12) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.02407360,0.00000000,0.00971127,sparse
real_annotation_grouped_cv_1.0.0,1,img_6f74505ed1336fe0eb30,PN151_4R_CBD_DIV05 (Series 15) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03560448,0.00000000,0.02070236,sparse
real_annotation_grouped_cv_1.0.0,1,img_72c8707007fc26224839,PN151_4R_CBD_DIV05 (Series 3) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.05022335,0.00000000,0.00299644,sparse
real_annotation_grouped_cv_1.0.0,1,img_bf01e1f9f39919cbea69,PN151_4R_CBD_DIV05 (Series 8) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03860283,0.02009964,0.04325199,dense
real_annotation_grouped_cv_1.0.0,2,img_05ef13116918fe81f04f,PN148_3R_AD_DIV05 (Series 14) [1],PN148_AD_3R_DIV05,train,valid,AD,3R,5,0.03052521,0.02580166,0.05558681,dense
real_annotation_grouped_cv_1.0.0,2,img_6c2ecbaaa6ef986d7a8a,PN148_3R_AD_DIV05 (Series 3) [1],PN148_AD_3R_DIV05,train,valid,AD,3R,5,0.02343464,0.01725674,0.07192802,sparse
real_annotation_grouped_cv_1.0.0,2,img_af6313c152e9bc38a66c,PN148_3R_AD_DIV07 (Series 0) [1],PN148_AD_3R_DIV07,train,valid,AD,3R,7,0.00658798,0.01379871,0.04364967,sparse
real_annotation_grouped_cv_1.0.0,2,img_2a83cf27e86fd0275008,PN148_3R_AD_DIV10 (Series 3) [1],PN148_AD_3R_DIV10,validation,valid,AD,3R,10,0.02068615,0.04504681,0.10381126,dense
real_annotation_grouped_cv_1.0.0,2,img_0040227f2d45f5a55970,PN148_3R_PID_DIV05 (Series 0) [1],PN148_PID_3R_DIV05,test,valid,PID,3R,5,0.05887699,0.00394344,0.02611923,dense
real_annotation_grouped_cv_1.0.0,2,img_467a144c1914e7179f96,PN148_3R_PID_DIV05 (Series 10) [1],PN148_PID_3R_DIV05,test,valid,PID,3R,5,0.06363773,0.00000000,0.02427769,dense
real_annotation_grouped_cv_1.0.0,2,img_2682051c7397e1b12852,PN148_3R_PID_DIV05 (Series 2) [1],PN148_PID_3R_DIV05,test,valid,PID,3R,5,0.03313446,0.00000000,0.00052834,sparse
real_annotation_grouped_cv_1.0.0,2,img_dca55343b014ab0419c4,PN148_3R_PID_DIV7 (Series 14) [1],PN148_PID_3R_DIV07,train,valid,PID,3R,7,0.13618565,0.00000000,0.02234936,dense
real_annotation_grouped_cv_1.0.0,2,img_839563e0a840ae895b70,PN148_4R_AD_DIV03 (Series 10) [1],PN148_AD_4R_DIV03,train,valid,AD,4R,3,0.01185131,0.10886002,0.15437603,dense
real_annotation_grouped_cv_1.0.0,2,img_6cca2db2f0fbf1c19322,PN148_4R_AD_DIV03 (Series 11) [1],PN148_AD_4R_DIV03,train,valid,AD,4R,3,0.01388264,0.10321236,0.12518311,dense
real_annotation_grouped_cv_1.0.0,2,img_9be7971faaa17ec1d33d,PN148_4R_AD_DIV05 (Series 12) [1],PN148_AD_4R_DIV05,validation,valid,AD,4R,5,0.01837540,0.00582695,0.03873348,sparse
real_annotation_grouped_cv_1.0.0,2,img_cc031204543516db8eae,PN148_4R_AD_DIV07 (Series 1) [1],PN148_AD_4R_DIV07,train,valid,AD,4R,7,0.01254940,0.00000000,0.02916622,sparse
real_annotation_grouped_cv_1.0.0,2,img_fc64d68cbb5e925a9520,PN148_4R_PSP_DIV10 (Series 6) [1],PN148_PSP_4R_DIV10,train,valid,PSP,4R,10,0.02698040,0.00000000,0.07663250,sparse
real_annotation_grouped_cv_1.0.0,2,img_e650e1515047a1f7fba6,PN148_4R_PSP_DIV10 (Series 8) [1],PN148_PSP_4R_DIV10,train,valid,PSP,4R,10,0.05034065,0.00000000,0.05290699,dense
real_annotation_grouped_cv_1.0.0,2,img_0ff9ff110badf4e96c42,PN148_4R_PSP_DIV5 (Series 5) [1],PN148_PSP_4R_DIV05,train,valid,PSP,4R,5,0.11349487,0.00000000,0.05410480,dense
real_annotation_grouped_cv_1.0.0,2,img_5944729f82099124c02e,PN148_4R_PSP_DIV7 (Series 12) [1],PN148_PSP_4R_DIV07,validation,valid,PSP,4R,7,0.03011227,0.00000000,0.02639198,sparse
real_annotation_grouped_cv_1.0.0,2,img_dbc03c8686e895b07076,PN151_4R_CBD_DIV05 (Series 12) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.02407360,0.00000000,0.00971127,sparse
real_annotation_grouped_cv_1.0.0,2,img_6f74505ed1336fe0eb30,PN151_4R_CBD_DIV05 (Series 15) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03560448,0.00000000,0.02070236,sparse
real_annotation_grouped_cv_1.0.0,2,img_72c8707007fc26224839,PN151_4R_CBD_DIV05 (Series 3) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.05022335,0.00000000,0.00299644,sparse
real_annotation_grouped_cv_1.0.0,2,img_bf01e1f9f39919cbea69,PN151_4R_CBD_DIV05 (Series 8) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03860283,0.02009964,0.04325199,dense
real_annotation_grouped_cv_1.0.0,3,img_05ef13116918fe81f04f,PN148_3R_AD_DIV05 (Series 14) [1],PN148_AD_3R_DIV05,train,valid,AD,3R,5,0.03052521,0.02580166,0.05558681,dense
real_annotation_grouped_cv_1.0.0,3,img_6c2ecbaaa6ef986d7a8a,PN148_3R_AD_DIV05 (Series 3) [1],PN148_AD_3R_DIV05,train,valid,AD,3R,5,0.02343464,0.01725674,0.07192802,sparse
real_annotation_grouped_cv_1.0.0,3,img_af6313c152e9bc38a66c,PN148_3R_AD_DIV07 (Series 0) [1],PN148_AD_3R_DIV07,test,valid,AD,3R,7,0.00658798,0.01379871,0.04364967,sparse
real_annotation_grouped_cv_1.0.0,3,img_2a83cf27e86fd0275008,PN148_3R_AD_DIV10 (Series 3) [1],PN148_AD_3R_DIV10,validation,valid,AD,3R,10,0.02068615,0.04504681,0.10381126,dense
real_annotation_grouped_cv_1.0.0,3,img_0040227f2d45f5a55970,PN148_3R_PID_DIV05 (Series 0) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.05887699,0.00394344,0.02611923,dense
real_annotation_grouped_cv_1.0.0,3,img_467a144c1914e7179f96,PN148_3R_PID_DIV05 (Series 10) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.06363773,0.00000000,0.02427769,dense
real_annotation_grouped_cv_1.0.0,3,img_2682051c7397e1b12852,PN148_3R_PID_DIV05 (Series 2) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.03313446,0.00000000,0.00052834,sparse
real_annotation_grouped_cv_1.0.0,3,img_dca55343b014ab0419c4,PN148_3R_PID_DIV7 (Series 14) [1],PN148_PID_3R_DIV07,train,valid,PID,3R,7,0.13618565,0.00000000,0.02234936,dense
real_annotation_grouped_cv_1.0.0,3,img_839563e0a840ae895b70,PN148_4R_AD_DIV03 (Series 10) [1],PN148_AD_4R_DIV03,test,valid,AD,4R,3,0.01185131,0.10886002,0.15437603,dense
real_annotation_grouped_cv_1.0.0,3,img_6cca2db2f0fbf1c19322,PN148_4R_AD_DIV03 (Series 11) [1],PN148_AD_4R_DIV03,test,valid,AD,4R,3,0.01388264,0.10321236,0.12518311,dense
real_annotation_grouped_cv_1.0.0,3,img_9be7971faaa17ec1d33d,PN148_4R_AD_DIV05 (Series 12) [1],PN148_AD_4R_DIV05,validation,valid,AD,4R,5,0.01837540,0.00582695,0.03873348,sparse
real_annotation_grouped_cv_1.0.0,3,img_cc031204543516db8eae,PN148_4R_AD_DIV07 (Series 1) [1],PN148_AD_4R_DIV07,train,valid,AD,4R,7,0.01254940,0.00000000,0.02916622,sparse
real_annotation_grouped_cv_1.0.0,3,img_fc64d68cbb5e925a9520,PN148_4R_PSP_DIV10 (Series 6) [1],PN148_PSP_4R_DIV10,train,valid,PSP,4R,10,0.02698040,0.00000000,0.07663250,sparse
real_annotation_grouped_cv_1.0.0,3,img_e650e1515047a1f7fba6,PN148_4R_PSP_DIV10 (Series 8) [1],PN148_PSP_4R_DIV10,train,valid,PSP,4R,10,0.05034065,0.00000000,0.05290699,dense
real_annotation_grouped_cv_1.0.0,3,img_0ff9ff110badf4e96c42,PN148_4R_PSP_DIV5 (Series 5) [1],PN148_PSP_4R_DIV05,test,valid,PSP,4R,5,0.11349487,0.00000000,0.05410480,dense
real_annotation_grouped_cv_1.0.0,3,img_5944729f82099124c02e,PN148_4R_PSP_DIV7 (Series 12) [1],PN148_PSP_4R_DIV07,validation,valid,PSP,4R,7,0.03011227,0.00000000,0.02639198,sparse
real_annotation_grouped_cv_1.0.0,3,img_dbc03c8686e895b07076,PN151_4R_CBD_DIV05 (Series 12) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.02407360,0.00000000,0.00971127,sparse
real_annotation_grouped_cv_1.0.0,3,img_6f74505ed1336fe0eb30,PN151_4R_CBD_DIV05 (Series 15) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03560448,0.00000000,0.02070236,sparse
real_annotation_grouped_cv_1.0.0,3,img_72c8707007fc26224839,PN151_4R_CBD_DIV05 (Series 3) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.05022335,0.00000000,0.00299644,sparse
real_annotation_grouped_cv_1.0.0,3,img_bf01e1f9f39919cbea69,PN151_4R_CBD_DIV05 (Series 8) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03860283,0.02009964,0.04325199,dense
real_annotation_grouped_cv_1.0.0,4,img_05ef13116918fe81f04f,PN148_3R_AD_DIV05 (Series 14) [1],PN148_AD_3R_DIV05,validation,valid,AD,3R,5,0.03052521,0.02580166,0.05558681,dense
real_annotation_grouped_cv_1.0.0,4,img_6c2ecbaaa6ef986d7a8a,PN148_3R_AD_DIV05 (Series 3) [1],PN148_AD_3R_DIV05,validation,valid,AD,3R,5,0.02343464,0.01725674,0.07192802,sparse
real_annotation_grouped_cv_1.0.0,4,img_af6313c152e9bc38a66c,PN148_3R_AD_DIV07 (Series 0) [1],PN148_AD_3R_DIV07,train,valid,AD,3R,7,0.00658798,0.01379871,0.04364967,sparse
real_annotation_grouped_cv_1.0.0,4,img_2a83cf27e86fd0275008,PN148_3R_AD_DIV10 (Series 3) [1],PN148_AD_3R_DIV10,test,valid,AD,3R,10,0.02068615,0.04504681,0.10381126,dense
real_annotation_grouped_cv_1.0.0,4,img_0040227f2d45f5a55970,PN148_3R_PID_DIV05 (Series 0) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.05887699,0.00394344,0.02611923,dense
real_annotation_grouped_cv_1.0.0,4,img_467a144c1914e7179f96,PN148_3R_PID_DIV05 (Series 10) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.06363773,0.00000000,0.02427769,dense
real_annotation_grouped_cv_1.0.0,4,img_2682051c7397e1b12852,PN148_3R_PID_DIV05 (Series 2) [1],PN148_PID_3R_DIV05,train,valid,PID,3R,5,0.03313446,0.00000000,0.00052834,sparse
real_annotation_grouped_cv_1.0.0,4,img_dca55343b014ab0419c4,PN148_3R_PID_DIV7 (Series 14) [1],PN148_PID_3R_DIV07,test,valid,PID,3R,7,0.13618565,0.00000000,0.02234936,dense
real_annotation_grouped_cv_1.0.0,4,img_839563e0a840ae895b70,PN148_4R_AD_DIV03 (Series 10) [1],PN148_AD_4R_DIV03,train,valid,AD,4R,3,0.01185131,0.10886002,0.15437603,dense
real_annotation_grouped_cv_1.0.0,4,img_6cca2db2f0fbf1c19322,PN148_4R_AD_DIV03 (Series 11) [1],PN148_AD_4R_DIV03,train,valid,AD,4R,3,0.01388264,0.10321236,0.12518311,dense
real_annotation_grouped_cv_1.0.0,4,img_9be7971faaa17ec1d33d,PN148_4R_AD_DIV05 (Series 12) [1],PN148_AD_4R_DIV05,test,valid,AD,4R,5,0.01837540,0.00582695,0.03873348,sparse
real_annotation_grouped_cv_1.0.0,4,img_cc031204543516db8eae,PN148_4R_AD_DIV07 (Series 1) [1],PN148_AD_4R_DIV07,train,valid,AD,4R,7,0.01254940,0.00000000,0.02916622,sparse
real_annotation_grouped_cv_1.0.0,4,img_fc64d68cbb5e925a9520,PN148_4R_PSP_DIV10 (Series 6) [1],PN148_PSP_4R_DIV10,train,valid,PSP,4R,10,0.02698040,0.00000000,0.07663250,sparse
real_annotation_grouped_cv_1.0.0,4,img_e650e1515047a1f7fba6,PN148_4R_PSP_DIV10 (Series 8) [1],PN148_PSP_4R_DIV10,train,valid,PSP,4R,10,0.05034065,0.00000000,0.05290699,dense
real_annotation_grouped_cv_1.0.0,4,img_0ff9ff110badf4e96c42,PN148_4R_PSP_DIV5 (Series 5) [1],PN148_PSP_4R_DIV05,validation,valid,PSP,4R,5,0.11349487,0.00000000,0.05410480,dense
real_annotation_grouped_cv_1.0.0,4,img_5944729f82099124c02e,PN148_4R_PSP_DIV7 (Series 12) [1],PN148_PSP_4R_DIV07,test,valid,PSP,4R,7,0.03011227,0.00000000,0.02639198,sparse
real_annotation_grouped_cv_1.0.0,4,img_dbc03c8686e895b07076,PN151_4R_CBD_DIV05 (Series 12) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.02407360,0.00000000,0.00971127,sparse
real_annotation_grouped_cv_1.0.0,4,img_6f74505ed1336fe0eb30,PN151_4R_CBD_DIV05 (Series 15) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03560448,0.00000000,0.02070236,sparse
real_annotation_grouped_cv_1.0.0,4,img_72c8707007fc26224839,PN151_4R_CBD_DIV05 (Series 3) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.05022335,0.00000000,0.00299644,sparse
real_annotation_grouped_cv_1.0.0,4,img_bf01e1f9f39919cbea69,PN151_4R_CBD_DIV05 (Series 8) [1],PN151_CBD_4R_DIV05,train,valid,CBD,4R,5,0.03860283,0.02009964,0.04325199,dense
