crop_id,parent_image_id,source_image_id,split_group_id,split,crop_origin_y,crop_origin_x,crop_height,crop_width,fibrous_tau_pixels,clump_pixels,uncertain_ignore_pixels,skeleton_pixels,skeleton_annotation_available
img_05ef13116918fe81f04f__crop_0017,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,128,128,128,1589,678,495,474,true
img_05ef13116918fe81f04f__crop_0018,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,256,128,128,551,2898,374,150,true
img_05ef13116918fe81f04f__crop_0019,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,384,128,128,1254,0,657,367,true
img_05ef13116918fe81f04f__crop_0020,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,512,128,128,867,0,2917,253,true
img_05ef13116918fe81f04f__crop_0021,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,640,128,128,2013,0,3498,490,true
img_05ef13116918fe81f04f__crop_0022,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,768,128,128,562,0,1938,126,true
img_05ef13116918fe81f04f__crop_0023,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,896,128,128,89,0,0,30,true
img_05ef13116918fe81f04f__crop_0024,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,0,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0025,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,128,128,128,288,0,1844,67,true
img_05ef13116918fe81f04f__crop_0026,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,256,128,128,1476,704,2235,382,true
img_05ef13116918fe81f04f__crop_0027,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,384,128,128,606,0,832,133,true
img_05ef13116918fe81f04f__crop_0028,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,512,128,128,1665,0,1496,372,true
img_05ef13116918fe81f04f__crop_0029,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,640,128,128,959,0,2024,279,true
img_05ef13116918fe81f04f__crop_0030,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,768,128,128,0,1655,2257,0,true
img_05ef13116918fe81f04f__crop_0031,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,384,896,128,128,0,0,430,0,true
img_05ef13116918fe81f04f__crop_0032,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,0,128,128,600,0,597,154,true
img_05ef13116918fe81f04f__crop_0033,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,128,128,128,1701,0,1369,490,true
img_05ef13116918fe81f04f__crop_0034,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,256,128,128,1909,511,3101,287,true
img_05ef13116918fe81f04f__crop_0035,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,384,128,128,380,4022,3535,101,true
img_05ef13116918fe81f04f__crop_0036,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,512,128,128,1151,0,1408,317,true
img_05ef13116918fe81f04f__crop_0037,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,640,128,128,1683,0,1963,347,true
img_05ef13116918fe81f04f__crop_0038,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,768,128,128,1051,621,970,317,true
img_05ef13116918fe81f04f__crop_0039,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,512,896,128,128,0,0,1557,0,true
img_05ef13116918fe81f04f__crop_0040,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,0,128,128,446,0,973,129,true
img_05ef13116918fe81f04f__crop_0041,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,128,128,128,999,698,417,303,true
img_05ef13116918fe81f04f__crop_0042,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,256,128,128,1482,2779,1207,194,true
img_05ef13116918fe81f04f__crop_0043,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,384,128,128,1386,1482,1484,194,true
img_05ef13116918fe81f04f__crop_0044,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,512,128,128,1048,80,1646,277,true
img_05ef13116918fe81f04f__crop_0045,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,640,128,128,951,2930,2269,180,true
img_05ef13116918fe81f04f__crop_0046,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,768,128,128,551,0,1545,136,true
img_05ef13116918fe81f04f__crop_0047,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,640,896,128,128,0,0,659,0,true
img_05ef13116918fe81f04f__crop_0048,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,0,128,128,0,0,49,0,true
img_05ef13116918fe81f04f__crop_0049,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,128,128,128,0,0,200,0,true
img_05ef13116918fe81f04f__crop_0050,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,256,128,128,346,0,65,108,true
img_05ef13116918fe81f04f__crop_0051,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,384,128,128,266,0,743,69,true
img_05ef13116918fe81f04f__crop_0052,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,512,128,128,29,0,671,14,true
img_05ef13116918fe81f04f__crop_0053,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,640,128,128,12,0,10,2,true
img_05ef13116918fe81f04f__crop_0054,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,768,128,128,0,1141,0,0,true
img_05ef13116918fe81f04f__crop_0055,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,768,896,128,128,0,438,1971,0,true
img_05ef13116918fe81f04f__crop_0056,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,0,128,128,0,0,2251,0,true
img_05ef13116918fe81f04f__crop_0057,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,128,128,128,0,0,961,0,true
img_05ef13116918fe81f04f__crop_0058,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,256,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0059,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,384,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0060,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,512,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0061,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,640,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0062,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,768,128,128,0,1335,225,0,true
img_05ef13116918fe81f04f__crop_0063,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,896,896,128,128,0,1938,802,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0000,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,0,128,128,373,0,0,110,true
img_6c2ecbaaa6ef986d7a8a__crop_0001,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,128,128,128,171,0,0,31,true
img_6c2ecbaaa6ef986d7a8a__crop_0002,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,256,128,128,441,0,0,145,true
img_6c2ecbaaa6ef986d7a8a__crop_0003,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,384,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0004,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,512,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0005,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,640,128,128,0,0,590,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0006,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,768,128,128,205,0,853,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0007,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,0,896,128,128,272,0,127,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0008,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,0,128,128,1466,0,1615,409,true
img_6c2ecbaaa6ef986d7a8a__crop_0009,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,128,128,128,1118,0,458,316,true
img_6c2ecbaaa6ef986d7a8a__crop_0010,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,256,128,128,735,0,545,199,true
img_6c2ecbaaa6ef986d7a8a__crop_0011,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,384,128,128,694,0,1211,197,true
img_6c2ecbaaa6ef986d7a8a__crop_0012,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,512,128,128,241,0,1755,60,true
img_6c2ecbaaa6ef986d7a8a__crop_0013,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,640,128,128,758,0,1725,228,true
img_6c2ecbaaa6ef986d7a8a__crop_0014,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,768,128,128,693,0,1217,197,true
img_6c2ecbaaa6ef986d7a8a__crop_0015,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,128,896,128,128,173,0,2117,42,true
img_6c2ecbaaa6ef986d7a8a__crop_0016,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,0,128,128,381,0,2886,109,true
img_6c2ecbaaa6ef986d7a8a__crop_0017,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,128,128,128,337,1532,1233,91,true
img_6c2ecbaaa6ef986d7a8a__crop_0018,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,256,128,128,1042,1456,1091,316,true
img_6c2ecbaaa6ef986d7a8a__crop_0019,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,384,128,128,365,0,1503,108,true
img_6c2ecbaaa6ef986d7a8a__crop_0020,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,512,128,128,717,0,729,199,true
img_6c2ecbaaa6ef986d7a8a__crop_0021,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,640,128,128,432,0,1577,126,true
img_6c2ecbaaa6ef986d7a8a__crop_0022,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,768,128,128,57,0,1484,14,true
img_6c2ecbaaa6ef986d7a8a__crop_0023,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,256,896,128,128,321,0,2520,83,true
img_6c2ecbaaa6ef986d7a8a__crop_0024,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,0,128,128,764,0,440,192,true
img_6c2ecbaaa6ef986d7a8a__crop_0025,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,128,128,128,148,4678,1509,33,true
img_6c2ecbaaa6ef986d7a8a__crop_0026,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,256,128,128,65,2989,4620,17,true
img_6c2ecbaaa6ef986d7a8a__crop_0027,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,384,128,128,405,838,1041,100,true
img_6c2ecbaaa6ef986d7a8a__crop_0028,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,512,128,128,759,0,450,123,true
img_6c2ecbaaa6ef986d7a8a__crop_0029,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,640,128,128,917,0,1008,250,true
img_6c2ecbaaa6ef986d7a8a__crop_0030,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,768,128,128,1103,0,2122,238,true
img_6c2ecbaaa6ef986d7a8a__crop_0031,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,384,896,128,128,45,0,1329,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0032,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,0,128,128,261,0,0,69,true
img_6c2ecbaaa6ef986d7a8a__crop_0033,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,128,128,128,268,549,826,42,true
img_6c2ecbaaa6ef986d7a8a__crop_0034,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,256,128,128,91,4673,2248,31,true
img_6c2ecbaaa6ef986d7a8a__crop_0035,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,384,128,128,637,0,1620,96,true
img_6c2ecbaaa6ef986d7a8a__crop_0036,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,512,128,128,371,628,1148,85,true
img_6c2ecbaaa6ef986d7a8a__crop_0037,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,640,128,128,103,439,2705,29,true
img_6c2ecbaaa6ef986d7a8a__crop_0038,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,768,128,128,636,0,1343,184,true
img_6c2ecbaaa6ef986d7a8a__crop_0039,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,512,896,128,128,0,0,2942,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0040,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,0,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0041,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,128,128,128,366,0,85,114,true
img_6c2ecbaaa6ef986d7a8a__crop_0042,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,256,128,128,779,0,181,176,true
img_6c2ecbaaa6ef986d7a8a__crop_0043,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,384,128,128,468,0,1896,47,true
img_6c2ecbaaa6ef986d7a8a__crop_0044,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,512,128,128,147,272,5429,12,true
img_6c2ecbaaa6ef986d7a8a__crop_0045,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,640,128,128,1143,41,1969,307,true
img_6c2ecbaaa6ef986d7a8a__crop_0046,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,768,128,128,455,0,1517,137,true
img_6c2ecbaaa6ef986d7a8a__crop_0047,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,640,896,128,128,0,0,256,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0048,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,0,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0049,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,128,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0050,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,256,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0051,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,384,128,128,620,0,420,176,true
img_6c2ecbaaa6ef986d7a8a__crop_0052,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,512,128,128,609,0,3702,185,true
img_6c2ecbaaa6ef986d7a8a__crop_0053,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,640,128,128,907,0,1968,265,true
img_6c2ecbaaa6ef986d7a8a__crop_0054,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,768,128,128,671,0,2526,148,true
img_6c2ecbaaa6ef986d7a8a__crop_0055,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,768,896,128,128,340,0,114,88,true
img_6c2ecbaaa6ef986d7a8a__crop_0056,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,0,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0057,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,128,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0058,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,256,128,128,0,0,0,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0059,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,384,128,128,0,0,120,0,true
img_6c2ecbaaa6ef986d7a8a__crop_0060,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,512,128,128,187,0,530,57,true
img_6c2ecbaaa6ef986d7a8a__crop_0061,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,640,128,128,96,0,1607,32,true
img_6c2ecbaaa6ef986d7a8a__crop_0062,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,768,128,128,220,0,2013,73,true
img_6c2ecbaaa6ef986d7a8a__crop_0063,img_6c2ecbaaa6ef986d7a8a,img_6c2ecbaaa6ef986d7a8a,PN148_AD_3R_DIV05,validation,896,896,128,128,0,0,502,0,true
img_af6313c152e9bc38a66c__crop_0000,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,0,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0001,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,128,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0002,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,256,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0003,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,384,128,128,0,0,580,0,true
img_af6313c152e9bc38a66c__crop_0004,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,512,128,128,334,0,377,95,true
img_af6313c152e9bc38a66c__crop_0005,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,640,128,128,160,0,1002,43,true
img_af6313c152e9bc38a66c__crop_0006,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,768,128,128,0,0,146,0,true
img_af6313c152e9bc38a66c__crop_0007,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,0,896,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0008,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,0,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0009,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,128,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0010,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,256,128,128,0,0,586,0,true
img_af6313c152e9bc38a66c__crop_0011,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,384,128,128,0,0,1419,0,true
img_af6313c152e9bc38a66c__crop_0012,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,512,128,128,0,0,0,0,true
img_af6313c152e9bc38a66c__crop_0013,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,640,128,128,410,0,324,112,true
img_af6313c152e9bc38a66c__crop_0014,img_af6313c152e9bc38a66c,img_af6313c152e9bc38a66c,PN148_AD_3R_DIV07,test,128,768,128,128,336,0,661,90,true
